text_id,author_canonical_name,author_fre_name,author_eng_name,author_dates,author_period,author_ISNI,author_URI_Perseus_catalog,author_CTS_code,author_URI_PHI,author_biography,work_canonical_title,work_orig_title,work_fre_title,work_eng_title,work_date,work_language,work_URI_data_bnf,work_URI_perseus_Catalog,work_URI_PHI,work_URI_RSPA,work_reference_editions,work_available_editions,work_genre,work_description,text_format,text_filename,text_source,text_source_URI,text_edition,text_Perseus_main_structuretext_Perseus_or_First1KGreek,text_Perseus_or_First1KGreek_secondary_structure,text_Perseus_or_First1KGreek_milestone,text_Perseus_or_First1KGreek_CTS _refdecl,text_Perseus_or_First1KGreek_enrichment,text_other_source_URI,text_other_source_version,text_other_source_format,text_other_source_licence,text_commentary,relevant_passages_ref,relevant_passages_length,relevant_passages_commentary,zoom_step,zoom_ref_added_by,zoom_ref_confirmed_by,zoom_text_added_by,zoomathia_text_confirmed_by,zoomathia_commented_by,zoomathia_checked_by,zoomathia_update_date
11,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748092,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,Problemata,Προβλήματα ,Problèmes,Problems,ca 340 BC,grc,http://data.bnf.fr/12244114/aristote_problemes/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg036,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/5a41954d44c661a29de71d643ced89e09ca483d7,,,philosophy,"Recueil de questions et réponses sur l'histoire naturelle, divisé en 38 sections [BNF] Selon W. H. Hett, Aristotle in twenty-three volumes. 15-16, Problems… (référencé dans ce répertoire), p. xi, cet ouvrage est le produit de l'école péripatéticienne. Il est issu de compilations effectuées à diverses périodes. [RSPA]",,,,non,,,,,,,,,,,,partie,,,1 (reference added),AZ,,,,,,
12,ARISTOTELES (pseudo),Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748093,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,Physiognomonica,Φυσιογνωμονικά,Physiognomonica,Physiognomonica,III BC,grc,http://data.bnf.fr/16163825/physiognomica/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg032,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/c2565d316e4060f273acce84d8c7bdcd6954652a,,,philosophy,"Petit traité pseudo-aristotélicien de physiognomonie ; dans le corpus aristotélicien, il fait partie des Opuscules. Il offre un répertoire de 22 caractères répondant chacun à une association de signes physiques. [RSPA]",,,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,
13,ARISTOTELES (pseudo),Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748094,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De mirabilibus auscultationibus,Περὶ θαυμασίων ἀκουσμάτων,De mirabilibus auscultationibus,On marvellous things heard,III BC,grc,http://data.bnf.fr/16557308/de_mirabilibus_auscultationibus/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg027,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/f2a415d30e36a137f9e81e09f8233de666639a3c,,,philosophy,"Petit traité pseudo-aristotélicien ; dans le corpus aristotélicien, il fait partie des Opuscules. Il est constitué de 178 anecdotes délivrées sans explication. L’auteur serait un philosophe péripatéticien. Cf. Cf. W. S. Hett, Aristotle. Minor Works, éditions Loeb, Cambridge (Mass.), 1963, p. 237. [RSPA]",,,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,
14,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748090,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De sensu et sensibilibus,Περὶ αἰσθήσεως καὶ αἰσθητῶν,De sensu et sensibilibus,Sense and Sensibilia,ca 340 BC,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg041,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/1b1e0cb46455e6700da3e7045ffd88ca9426c38f,,,philosophy,"Contient une introduction commune aux traités composant les Parva naturalia, dont il fait partie. Traite essentiellement des ""rapports possibles entre les quatre éléments et les cinq organes des sens"", et des diverses sensations. Cf. R. Mugnier, Aristote. Petits traités d’histoire naturelle […], référencé dans ce répertoire, p. 6 et 9. Ce traité est également lié aux traités Des couleurs et De l'âme. Cf. W. S. Hett, Aristotle. Parva Naturalia […], référencé dans ce répertoire, p. 5 et p. 207-213. Il est annoncé dans les Météorologiques. [RSPA]",TEI,tlg0086.tlg041.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg041/tlg0086.tlg041.1st1K-grc1.xml,"Aristotelis Opera / Aristotle, ed. Immanuel Bekker. Oxford : Oxford University Press, 1837, vol. 3, p. 243-276",section/chapitre,p (un par div sauf si lg) ; lg et l pour les citations de vers,pb (p. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
15,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748091,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De vita et morte,Περὶ Ζωῆς καὶ Θανάτου,De la vie et de la mort,De vita et morte,ca 340 BC,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg018,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/eb7e21be26473832d3bf07526be1c46a4b171686,,,philosophy,"Fait partie des Parva naturalia et prolonge logiquement l’étude de la respiration. Certains éditeurs par ailleurs (dont W. D. Ross, Aristotle : Parva Naturalia […], et R. Mugnier, Aristote. Petits traités d’histoire naturelle […], référencés dans le répertoire) l’associent directement au traité De respiratione ainsi qu’à celui De juventute et senectute, et ils les présentent comme un ensemble. Ce traité, selon Zeller (Arch. Für Geschichte der Philos. XVII, 1899), a été perdu ; cependant, la plupart des autres éditeurs considèrent qu'il convient de faire une coupure dans le De vita et morte, mais ils ne sont pas d'accord sur le lieu de cette coupure. Certains mettent à part les deux premiers chapitres sous le nom de De juventute et senectute. Cf. R. Mugnier, p. 6. W. S. Hett, Aristotle. Parva Naturalia […] et R. Mugnier, Aristote. Petits traités d’histoire naturelle […], tout en suivant cette tradition, les ont regroupés dans leurs éditions respectives (référencées dans ce répertoire). Pour d'autres, « [les] six premiers chapitres [du De vita et morte] ont été arbitrairement détachés pour former le […] De juventute et senectute ; et les chapitres 7 à 27 forment le […] De respiratione. Le De vita et morte proprement dit peut être considéré comme comprenant les chapitres 23 à 27 » (J. Tricot, dont la traduction de l’ouvrage est référencée dans ce répertoire, p. v).  [RSPA]",TEI,tlg0086.tlg018.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg018/tlg0086.tlg018.1st1K-grc1.xml,"Aristotelis Opera / Aristotle, ed. Immanuel Bekker. Oxford : Oxford University Press, 1837, vol. 3, p. 322-329",chapitre,p (un par div sauf si lg) ; lg et l pour les citations de vers,pb (p. Bekker) et lb (l. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
16,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748084,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De Partibus Animalium,Περὶ ζῴων μορίων,Les parties des animaux,On the parts of animals,ca 340 BC,grc,http://data.bnf.fr/12194297/aristote_les_parties_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg030,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/fd2f26ae381b293ac96dc44d00f7dee06399c286,,P. Louis. Belles Lettres. 1956,philosophy,"Si l’authenticité du traité ne fait pas de doute, les éditeurs ne s'accordent pas pour déterminer si c'est une œuvre de la maturité ou de la vieillesse. — Sur la complexité de la tradition philologique (le manuscrit du Vatican est si différent en 691b 28 - 695a 27 qu’on a pu penser à une deuxième version du passage), voir DPhA I, n. A414 (Aristote), Corpus biologique, p. 474-476 et 478-480. — A ce sujet, voir également : P. Pellegrin, Aristote, Les parties des animaux […], référencé dans ce répertoire, p. 80-83 : il souligne la nécessité d’une nouvelle édition et donne des pistes qui aideraient à cet établissement du texte.  [RSPA]",TEI,tlg0086.tlg030.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg030/tlg0086.tlg030.1st1K-grc1.xml,"Aristotelis Opera / ed. Bernhard Langkavel. Leipzig : Teubner, 1886, vol. 1",livre/chapitre/section,p (un par div) ; lg et l pour les citations de vers,pb (p. Bekker) et lb (l. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
17,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748089,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De juventute et senectute ,"Περὶ νεότητος καὶ γήρως, καὶ ζωῆς καὶ θανάτου, καὶ ἀναπνοῆς",De juventute et senectute ,"On Youth, Old Age, Life and Death, and Respiration",ca 340 BC,grc,,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg018,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/9c5bf9969c56c122675193e0093fad7ba858f70e,,,philosophy,"Fait partie des Parva naturalia. Certains éditeurs (dont W. D. Ross, Aristotle : Parva Naturalia […] référencé dans le répertoire) l’associent à deux autres traités, De vita et morte et De respiratione, qu’ils présentent dans la continuité. Ce traité, selon Zeller (Arch. Für Geschichte der Philos. XVII, 1899), a été perdu ; cependant, la plupart des autres éditeurs considèrent qu'il convient de faire une coupure dans le De vita et morte, mais ils ne sont pas d'accord sur le lieu de cette coupure. Certains mettent à part les deux premiers chapitres sous le nom de De juventute et senectute. W. S. Hett, Aristotle. Parva Naturalia […] et R. Mugnier, Aristote. Petits traités d’histoire naturelle […], tout en suivant cette tradition, les ont regroupés dans leurs éditions respectives (référencées dans ce répertoire). Pour d'autres, « [les] six premiers chapitres [du De vita et morte] ont été arbitrairement détachés pour former le […] De juvente et senectute ; et les chapitres 7 à 27 forment le […] De respiratione. Le De vita et morte proprement dit peut être considéré comme comprenant les chapitres 23 à 27 » (J. Tricot, dont la traduction de l’ouvrage est référencée dans ce répertoire, p. v). [RSPA]",TEI,tlg0086.tlg018.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg018/tlg0086.tlg018.1st1K-grc1.xml,"Aristotelis Opera / ed. Immanuel Bekker. Oxford : Oxford University Press, 1837, vol. 3, p. 322-329",chapitre,p (un par div sauf si lg) ; lg et l pour les citations de vers,pb (p. Bekker) et lb (l. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
18,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748087,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,De respiratione ,Περὶ ἀναπνοῆς,De la respiration,On respiration,ca 340 BC,grc,http://data.bnf.fr/13173959/aristote_de_la_respiration/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg037,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/c1781e19a335c0c9f7ef8361e8bf68d21390cfd4,,,philosophy,"Fait partie des Parva naturalia bien que W. S. Hett, Aristotle. On Breath […], le traite séparément dans son édition (référencée dans ce répertoire). Certains éditeurs (dont W. D. Ross, Aristotle : Parva Naturalia […] et R. Mugnier, Aristote. Petits traités d’histoire naturelle […], référencés dans le répertoire) l’associent à deux autres traités, De juventute et senectute et De vita et morte, qu’ils présentent dans la continuité. [RSPA]",TEI,tlg0086.tlg037.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg037/tlg0086.tlg037.1st1K-grc1.xml,"Aristotelis Opera / ed. Immanuel Bekker. Oxford : Oxford University Press, 1837, vol. 3, p. 329-354
",chapitre,p (un par div sauf si lg) ; lg et l pour les citations de vers,pb (p. Bekker) et lb (l. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
19,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748082,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,Historia Animalium,περὶ ζῴων ἱστορίας,Histoire des animaux,Historia Animalium,ca 340 BC ,grc,http://data.bnf.fr/12047619/aristote_histoire_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg014,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/e13dac7adb685880a18769c373538ac075ec3581,D.M. Balme. Oxford. 2011,,philosophy,"Le plus important des écrits biologiques d’Aristote. Il contient neuf ou dix livres. Les éditeurs ne s'accordent pas pour déterminer si c'est une œuvre de la maturité ou de la vieillesse. Cf. A. L. Peck, Aristotle. Parts of animals […] référencé dans ce répertoire, p. 10-11. Par ailleurs, certains d'entre eux ont considéré les livres VII et IX et, en partie, le livre VIII comme non authentiques. Cf. A. L. Peck, op. cit., p. liv-lvi. Le livre X est généralement considéré comme apocryphe, mais de nombreux éditeurs et traducteurs l'ont conservé dans leurs ouvrages. Cf. A. L. Peck, op. cit., p. lvi-lviii et D. M. Balme, Aristotle. History of animals […], p. viii, référencés dans ce répertoire. [RSPA]",TEI,tlg0086.tlg014.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0086/tlg014/tlg0086.tlg014.1st1K-grc1.xml,"Aristotelis Opera / ed. Immanuel Bekker. Oxford : Oxford University Press, 1837, vol. 4, p. 1-383",livre/chapitre,p (un ou plusieurs par div),pb (p. Bekker) et lb (l. Bekker),oui,,,,,,,—,,,2 (text added),AZ,,MS,,,,
20,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748095,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,,Oeconomica,Οἰκονομικά,Economics,Economics,ca 340 BC,grc,http://data.bnf.fr/12322850/aristote_economique/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg029,,https://rspa.ups2259.vjf.cnrs.fr/01/texte-antique/par-id/58fc4cdf82aca9ae9312de1a6c57eb245edde74f,,,philosophy,"Trois petites œuvres indépendantes sont réunis sous ce titre ; ils traitent (notamment le livre I) le thème de l’administration de la maison. L'authenticité de ce traité est très discutée. Pour G. C. Armstrong (référencé dans ce répertoire, p. 323) le premier livre, parfois attribué à Théophraste, ou au moins à un péripatéticien de la première heure, s'inspire fortement de l' Économique de Xénophon et de la Politique d'Aristote. Pour J. Tricot (dont la traduction de l’ouvrage est référencée dans ce répertoire) l'authenticité du 1er livre ne fait aucun doute. Celle par contre des 2e et 3e livres est généralement rejetée. Le 2e livre serait dû à un compilateur qu'on date en général du IVe ou IIIe avant J.-C. Le 3e livre (qui a été commenté par S. Maurus), serait l'œuvre en partie d'un péripatéticien de la première heure et en partie d'un stoïcien du II ou IIIe s. ap. J. C. Il ne nous est parvenu qu'au travers, principalement, de deux traductions latines, dont l'une est due à Guillaume Durand ou Duranti, évêque de Mende (1237-1296).  [RSPA]",TEI,tlg0086.tlg029.perseus-grc1.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0086/tlg029/tlg0086.tlg029.perseus-grc1.xml,"Aristotle in 23 Volumes, Vol. 18. Cambridge, MA., London : Harvard University Press, 1935",pagination bekker,p (un par div),livre/(section?) /para; bekker lines,oui (pagination bekker),"citations, réf. Bibs (cit, quote, bibl)",,,,,,partie,,,2 (text added),AZ,,MS,,,,
21,ARRIANUS,Arrien,Arrian,c. 86/89 - c. 146/160,Antiquity,http://www.isni.org/isni/0000000121451319,http://catalog.perseus.org/catalog/urn:cite:perseus:author.206,tlg0074,,,Cynegeticus,Κυνηγετικά,On Dogs,On Dogs,c. 100 – 140,grc,http://data.bnf.fr/12307746/arrien_cynegetique/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0074.tlg003,,,,,natural history,,TEI,tlg0074.tlg003.perseus-grc1.xml,Perseus,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0074/tlg003/tlg0074.tlg003.perseus-grc2.xml,"Arriani Nicomediensis Scripta Minora / ed.. Rudolf Hercher. Alfred Eberhard. Leipzig : in aedibus B. G. Teubneri, 1885",ch/section,p (un par div),pb (pagination moderne),oui (ch/section),,,,,,,,,,2 (text added),AZ,,MS,,,,
22,ARTEMIDORUS,Artémidore de Daldis,Artemidorus Daldianus,II ,Antiquity,http://www.isni.org/isni/0000000118769107,http://catalog.perseus.org/catalog/urn:cite:perseus:author.208,tlg0553,,,Onirocritica,Ὀνειροκριτικά,L'interprétation des songes,The Interpretation of Dreams,,grc,http://data.bnf.fr/12008333/artemidore_d_ephese_l_interpretation_des_songes/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0553.tlg001,,,,,philosophy,,TEI,tlg0553.tlg001.1st1K-grc1.xml,First1KGreek,https://github.com/OpenGreekAndLatin/First1KGreek/blob/master/data/tlg0553/tlg001/tlg0553.tlg001.1st1K-grc1.xml,"Artemidori Daldiani Onirocriticon / ed. Roger A. Pack. Lipsiae : In Aedibus B. G. Teubneri, 1963",livre/section,p (un ou plusieurs par div),pb et lb,oui,,,,,,,partie,,,2 (text added),AZ,,MS,,,,
23,ATHENAEUS,Athénée de Naucratis,"Athenaeus of Naucratis

",fl. 200,Antiquity,http://www.isni.org/isni/0000000121033635,http://catalog.perseus.org/catalog/urn:cite:perseus:author.228,tlg0008,,,Deipnosophistae,Δειπνοσοφισταί,Les déipnosophistes,The deipnosophists,,grc,http://data.bnf.fr/12318305/athenee_les_deipnosophistes/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0008.tlg001,,,,,philosophy,,TEI,tlg0008.tlg001.perseus-grc4.xml,Perseus,https://raw.githubusercontent.com/PerseusDL/canonical-greekLit/master/data/tlg0008/tlg001/tlg0008.tlg001.perseus-grc4.xml,"Athenaeus. The Deipnosophists. 7 vols. Gulick, Charles Burton, editor. London: William Heinemann, Ltd.; New York: G. P. Putnam's Sons; Cambridge, MA: Harvard University Press, 1927-1941",livre/ch,p (phrases en 1887 ; 1 par div en 1927),milestone (pagination casaubon) en 1927 ; pb (pagination),oui (livre/ch),"citations, réf. Bibs (cit, quote, bibl), noms de personne",,,,,2 versions dans Perseus avec une structuration et un enrichissement différent,,,,2 (text added),AZ,,MS,,,,
